         1477936 function calls (1456318 primitive calls) in 1.996 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.266    0.133    0.266    0.133 {built-in method matplotlib._png.write_png}
      250    0.100    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    22952    0.085    0.000    0.086    0.000 plot_gtex.py:20(binary_search)
    28873    0.069    0.000    0.069    0.000 {method 'split' of 'str' objects}
        1    0.063    0.063    1.415    1.415 plot_gtex.py:76(main)
      250    0.057    0.000    0.057    0.000 {built-in method marshal.loads}
    38/37    0.057    0.001    0.059    0.002 {built-in method _imp.create_dynamic}
    19610    0.051    0.000    0.051    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    21739    0.040    0.000    0.040    0.000 {built-in method numpy.array}
      123    0.034    0.000    0.034    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2467    0.026    0.000    0.045    0.000 inspect.py:613(cleandoc)
      369    0.025    0.000    0.025    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
        1    0.025    0.025    0.025    0.025 {method 'dot' of 'numpy.ndarray' objects}
    16757    0.022    0.000    0.077    0.000 fromnumeric.py:69(_wrapreduction)
    22953    0.022    0.000    0.023    0.000 plot_gtex.py:10(linear_search)
      576    0.022    0.000    0.053    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      198    0.020    0.000    0.025    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 1036/945    0.018    0.000    0.063    0.000 {built-in method builtins.__build_class__}
     1237    0.015    0.000    0.015    0.000 {built-in method posix.stat}
      993    0.014    0.000    0.147    0.000 lines.py:751(draw)
     4980    0.014    0.000    0.014    0.000 {built-in method numpy.dot}
    61051    0.013    0.000    0.018    0.000 {built-in method builtins.isinstance}
      436    0.013    0.000    0.168    0.000 _base.py:2425(handle_single_axis)
21693/16650    0.012    0.000    0.024    0.000 artist.py:219(stale)
    23252    0.012    0.000    0.037    0.000 __init__.py:810(__getitem__)
      332    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
122317/121373    0.011    0.000    0.011    0.000 {built-in method builtins.len}
        3    0.010    0.003    0.011    0.004 backend_agg.py:80(__init__)
       32    0.010    0.000    0.010    0.000 {built-in method io.open}
    23810    0.010    0.000    0.012    0.000 {built-in method builtins.getattr}
3669/2130    0.009    0.000    0.030    0.000 transforms.py:2395(get_affine)
      655    0.009    0.000    0.042    0.000 transforms.py:708(intersection)
     1334    0.009    0.000    0.012    0.000 transforms.py:2791(nonsingular)
      415    0.009    0.000    0.066    0.000 lines.py:273(__init__)
      875    0.009    0.000    0.021    0.000 numeric.py:2508(within_tol)
    11456    0.008    0.000    0.008    0.000 transforms.py:82(__init__)
  447/180    0.007    0.000    0.020    0.000 sre_parse.py:475(_parse)
    84330    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
      123    0.007    0.000    0.007    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     5517    0.007    0.000    0.034    0.000 transforms.py:1025(get_points)
4563/1990    0.007    0.000    0.008    0.000 transforms.py:137(_invalidate_internal)
    22285    0.007    0.000    0.007    0.000 {built-in method builtins.min}
     2532    0.007    0.000    0.021    0.000 transforms.py:726(__init__)
    29049    0.006    0.000    0.006    0.000 {method 'rstrip' of 'str' objects}
 1768/878    0.006    0.000    0.014    0.000 units.py:142(get_converter)
    16757    0.006    0.000    0.006    0.000 fromnumeric.py:70(<dictcomp>)
      397    0.006    0.000    0.028    0.000 lines.py:667(recache)
      597    0.006    0.000    0.062    0.000 text.py:270(_get_layout)
       30    0.006    0.000    0.006    0.000 {built-in method posix.listdir}
     4258    0.006    0.000    0.006    0.000 {method 'copy' of 'numpy.ndarray' objects}
     7500    0.005    0.000    0.010    0.000 transforms.py:1683(__init__)
    26801    0.005    0.000    0.005    0.000 artist.py:1020(sticky_edges)
      531    0.005    0.000    0.030    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      250    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      218    0.005    0.000    0.010    0.000 _base.py:2415(<listcomp>)
      638    0.005    0.000    0.014    0.000 inspect.py:2117(_signature_from_function)
    11926    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
     5317    0.005    0.000    0.012    0.000 transforms.py:1819(__init__)
     6147    0.005    0.000    0.032    0.000 fromnumeric.py:2512(amin)
