         3011703 function calls (2990070 primitive calls) in 3.624 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    86266    1.375    0.000    1.455    0.000 hash_functions.py:29(h_sedgwicks)
        2    0.264    0.132    0.264    0.132 {built-in method matplotlib._png.write_png}
    28903    0.161    0.000    0.161    0.000 {method 'split' of 'str' objects}
        1    0.090    0.090    3.070    3.070 plot_gtex.py:87(main)
      252    0.079    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:914(get_data)
  1287935    0.074    0.000    0.074    0.000 {built-in method builtins.ord}
    17413    0.073    0.000    0.646    0.000 hash_tables.py:54(add)
        2    0.063    0.031    0.063    0.031 hash_tables.py:49(<listcomp>)
    38/37    0.050    0.001    0.052    0.001 {built-in method _imp.create_dynamic}
      252    0.048    0.000    0.048    0.000 {built-in method marshal.loads}
    19582    0.048    0.000    0.048    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    21739    0.039    0.000    0.039    0.000 {built-in method numpy.array}
        1    0.036    0.036    3.625    3.625 plot_gtex.py:1(<module>)
      123    0.034    0.000    0.034    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    45933    0.031    0.000    0.840    0.000 hash_tables.py:65(search)
     2467    0.029    0.000    0.048    0.000 inspect.py:613(cleandoc)
      369    0.026    0.000    0.026    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      609    0.024    0.000    0.024    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.024    0.024    0.024    0.024 {method 'dot' of 'numpy.ndarray' objects}
      192    0.023    0.000    0.027    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    16729    0.021    0.000    0.073    0.000 fromnumeric.py:69(_wrapreduction)
      576    0.020    0.000    0.047    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
 1039/948    0.017    0.000    0.057    0.000 {built-in method builtins.__build_class__}
164339/163393    0.014    0.000    0.014    0.000 {built-in method builtins.len}
      993    0.013    0.000    0.141    0.000 lines.py:751(draw)
     4966    0.013    0.000    0.013    0.000 {built-in method numpy.dot}
     1246    0.013    0.000    0.013    0.000 {built-in method posix.stat}
    61053    0.013    0.000    0.018    0.000 {built-in method builtins.isinstance}
      436    0.012    0.000    0.161    0.000 _base.py:2425(handle_single_axis)
21693/16650    0.012    0.000    0.024    0.000 artist.py:219(stale)
   141993    0.012    0.000    0.012    0.000 {method 'append' of 'list' objects}
    23248    0.012    0.000    0.035    0.000 __init__.py:810(__getitem__)
        3    0.010    0.003    0.010    0.003 backend_agg.py:80(__init__)
    22920    0.010    0.000    0.088    0.000 hash_tables.py:76(search_slot)
       32    0.010    0.000    0.010    0.000 {built-in method io.open}
    23818    0.010    0.000    0.012    0.000 {built-in method builtins.getattr}
      655    0.009    0.000    0.044    0.000 transforms.py:708(intersection)
3661/2126    0.009    0.000    0.029    0.000 transforms.py:2395(get_affine)
     1334    0.008    0.000    0.012    0.000 transforms.py:2791(nonsingular)
      415    0.008    0.000    0.065    0.000 lines.py:273(__init__)
      875    0.008    0.000    0.020    0.000 numeric.py:2508(within_tol)
  449/181    0.008    0.000    0.020    0.000 sre_parse.py:475(_parse)
    11430    0.007    0.000    0.007    0.000 transforms.py:82(__init__)
     2530    0.007    0.000    0.021    0.000 transforms.py:726(__init__)
      123    0.007    0.000    0.007    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    29127    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
    16729    0.006    0.000    0.006    0.000 fromnumeric.py:70(<dictcomp>)
      397    0.006    0.000    0.028    0.000 lines.py:667(recache)
    22283    0.006    0.000    0.006    0.000 {built-in method builtins.min}
     5511    0.006    0.000    0.030    0.000 transforms.py:1025(get_points)
      597    0.006    0.000    0.066    0.000 text.py:270(_get_layout)
4556/1983    0.006    0.000    0.007    0.000 transforms.py:137(_invalidate_internal)
 1784/882    0.006    0.000    0.014    0.000 units.py:142(get_converter)
     7478    0.006    0.000    0.010    0.000 transforms.py:1683(__init__)
     4244    0.005    0.000    0.005    0.000 {method 'copy' of 'numpy.ndarray' objects}
      218    0.005    0.000    0.010    0.000 _base.py:2415(<listcomp>)
     6135    0.005    0.000    0.031    0.000 fromnumeric.py:2512(amin)
      611    0.005    0.000    0.005    0.000 {built-in method zlib.crc32}
      638    0.005    0.000    0.013    0.000 inspect.py:2117(_signature_from_function)
     5297    0.004    0.000    0.012    0.000 transforms.py:1819(__init__)
    26801    0.004    0.000    0.004    0.000 artist.py:1020(sticky_edges)
      293    0.004    0.000    0.006    0.000 __init__.py:1673(normalize_kwargs)
    11946    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      630    0.004    0.000    0.007    0.000 artist.py:74(__init__)
      535    0.004    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      252    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
    24737    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
     1831    0.004    0.000    0.005    0.000 transforms.py:164(set_children)
     6141    0.004    0.000    0.026    0.000 fromnumeric.py:2397(amax)
    28513    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
     4448    0.004    0.000    0.042    0.000 re.py:271(_compile)
     1668    0.004    0.000    0.006    0.000 font_manager.py:660(__hash__)
    23559    0.004    0.000    0.004    0.000 {function RcParams.__getitem__ at 0x1134740d0}
      436    0.004    0.000    0.006    0.000 _base.py:2434(<listcomp>)
        2    0.004    0.002    0.016    0.008 font_manager.py:1240(_findfont_cached)
  902/174    0.004    0.000    0.009    0.000 sre_compile.py:71(_compile)
      249    0.004    0.000    0.077    0.000 text.py:655(draw)
   1398/3    0.004    0.000    0.345    0.115 artist.py:30(draw_wrapper)
      875    0.004    0.000    0.039    0.000 numeric.py:2431(isclose)
      906    0.004    0.000    0.010    0.000 backend_bases.py:718(__init__)
      588    0.004    0.000    0.017    0.000 inspect.py:1089(getfullargspec)
      474    0.003    0.000    0.007    0.000 transforms.py:671(translated)
     3297    0.003    0.000    0.018    0.000 colors.py:149(to_rgba)
     1469    0.003    0.000    0.037    0.000 transforms.py:1377(transform)
